date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738367340,231.19,231.38,231.18,231.38,1097.6,229.89238795117694,231.04159450187288,False,False,False,,False,,False,,False,,False,
1738367400,231.38,231.6,231.37,231.47,2184.3,229.90694233676368,231.03574728274768,False,False,False,,False,,False,,False,,False,
1738367460,231.47,231.47,231.2,231.21,2441.0,229.91977685280926,231.03493589677868,False,False,False,,False,,False,,False,,False,
1738367520,231.21,231.46,231.19,231.46,749.2,229.92938579718873,231.03795423153625,False,False,False,,False,,False,,False,,False,
1738367580,231.46,231.5,231.29,231.5,795.8,229.93460158283654,231.0452978688357,False,False,False,,False,,False,,False,,False,
1738367640,231.5,231.53,231.41,231.49,1854.4,229.9348702088207,231.05822345889587,False,False,False,,False,,False,,False,,False,
1738367700,231.49,231.49,231.33,231.43,605.1,229.9304764931603,231.0750372316362,False,False,False,,False,,False,,False,,False,
1738367760,231.43,231.62,231.37,231.59,847.6,229.92211754233642,231.09559730157133,False,False,False,,False,,False,,False,,False,
1738367820,231.59,231.59,231.47,231.51,725.0,229.91060102711504,231.12041586844086,False,False,False,,False,,False,,False,,False,
1738367880,231.51,231.64,231.51,231.6,900.0,229.89735345196482,231.14901443644303,False,False,False,,False,,False,,False,,False,
1738367940,231.6,231.67,231.59,231.61,1285.3,229.88340883243154,231.18166961919715,False,False,False,,False,,False,,False,,False,
1738368000,231.61,231.61,231.31,231.32,3079.2,229.8722761773829,231.21345291867064,False,False,False,,False,,False,,False,,False,
1738368060,231.32,231.4,231.21,231.22,2255.4,229.86682797539788,231.2441099321976,False,False,False,,False,,False,,False,,False,
1738368120,231.22,231.22,231.05,231.09,2023.8,229.86868884960063,231.27286005330828,False,False,False,,False,,False,,False,,False,
1738368180,231.09,231.09,230.78,230.79,6056.8,229.87785161724582,231.29920099927492,False,False,False,,False,,False,,False,,False,
1738368240,230.79,231.01,230.73,230.84,10499.8,229.89264027956824,231.3237524092672,False,False,False,,False,,False,,False,,False,
1738368300,230.84,231.07,230.8,230.93,6112.0,229.91134998664563,231.34657126514733,False,False,False,,False,,False,,False,,False,
1738368360,230.93,231.28,230.87,231.14,3111.6,229.93230920015026,231.36807767832414,False,False,False,,False,,False,,False,,False,
1738368420,231.14,231.57,231.07,231.56,2008.0,229.95421365378377,231.38905147114923,False,False,False,,False,,False,,False,,False,
1738368480,231.56,231.61,231.38,231.42,1111.3,229.97651928150844,231.4107655393913,False,False,False,,False,,False,,False,,False,
1738368540,231.42,231.98,231.42,231.96,5191.8,229.99994108790395,231.43226010958531,False,False,False,,False,,False,,False,,False,
1738368600,231.96,231.97,231.65,231.74,1521.9,230.0233429370694,231.45681576490938,False,False,False,,False,,False,,False,,False,
1738368660,231.74,232.31,231.7,232.24,8691.9,230.04544982695552,231.48424588288995,False,False,False,,False,,False,,False,,False,
1738368720,232.24,232.24,232.02,232.09,3298.0,230.0638455244639,231.51780561570817,False,False,False,,False,,False,,False,,False,
1738368780,232.09,232.56,232.07,232.47,6850.6,230.07615447844705,231.55712596088114,False,False,False,,False,,False,,False,,False,
1738368840,232.47,232.64,232.44,232.61,3304.0,230.07949804354712,231.60572501407026,False,False,False,,False,,False,,False,,False,
1738368900,232.61,232.98,232.56,232.92,13422.0,230.07215654494485,231.66337502882797,False,False,False,,False,,False,,False,,False,
1738368960,232.92,232.97,232.54,232.54,3267.9,230.05434514203637,231.72803765587724,False,False,False,,False,,False,,False,,False,
1738369020,232.54,232.72,232.36,232.45,4253.3,230.02825516044277,231.79631303673523,False,False,False,,False,,False,,False,,False,
1738369080,232.45,232.65,232.44,232.65,2082.7,229.99655448525687,231.86821468294494,False,False,False,,False,,False,,False,,False,
1738369140,232.65,232.71,232.2,232.2,3025.3,229.96300596817446,231.94065871183545,False,False,False,,False,,False,,False,,False,
1738369200,232.2,232.22,231.95,232.03,3627.2,229.93190157142942,232.0111311633169,False,False,False,,False,,False,,False,,False,
1738369260,232.03,232.13,232.01,232.09,1898.3,229.90612593513288,232.08010760364292,False,False,False,,False,,False,,False,,False,
1738369320,232.09,232.12,231.89,232.0,2167.6,229.88733717973798,232.14669530563953,False,False,False,,False,,False,,False,,False,
1738369380,232.0,232.0,231.8,231.95,3630.3,229.8762119230604,232.21035391443456,False,False,False,,False,,False,,False,,False,
1738369440,231.95,231.95,231.63,231.7,3168.6,229.87280323712866,232.27026742338717,False,False,False,,False,,False,,False,,False,
1738369500,231.7,231.71,231.45,231.46,3023.8,229.8767778252053,232.3258080716554,False,False,False,,False,,False,,False,,False,
1738369560,231.46,231.48,231.19,231.35,2552.9,229.88746564030782,232.37641527672233,False,False,False,,False,,False,,False,,False,
1738369620,231.35,231.6,231.28,231.5,4320.2,229.90479166208115,232.42188099539126,False,False,False,,False,,False,,False,,False,
1738369680,231.5,231.5,231.08,231.1,9416.1,229.92920462137135,232.4612581441678,False,False,False,,False,,False,,False,,False,
1738369740,231.1,231.23,231.05,231.11,2675.2,229.96115235158413,232.4944313895363,False,False,False,,False,,False,,False,,False,
1738369800,231.11,231.17,230.8,231.1,3943.7,230.00009927409133,232.52176111647853,False,False,False,,False,,False,,False,,False,
1738369860,231.1,231.6,231.06,231.6,3724.9,230.04501113387573,232.54407631400395,False,False,False,,False,,False,,False,,False,
1738369920,231.6,231.75,231.45,231.45,3095.7,230.09426045829275,232.56314407172658,False,False,False,,False,,False,,False,,False,
1738369980,231.45,231.6,231.37,231.58,1543.7,230.14616959141586,232.57891378488756,False,False,False,,False,,False,,False,,False,
1738370040,231.58,231.7,231.57,231.67,1238.2,230.19887533839278,232.59263384915403,False,False,False,,False,,False,,False,,False,
1738370100,231.67,231.81,231.5,231.81,1057.9,230.25060659842563,232.60438521512896,False,False,False,,False,,False,,False,,False,
1738370160,231.81,231.88,231.73,231.75,1455.7,230.30010630374318,232.61508757997976,False,False,False,,False,,False,,False,,False,
1738370220,231.75,231.9,231.62,231.89,1190.3,230.34660743138352,232.62438609209568,False,False,False,,False,,False,,False,,False,
1738370280,231.89,231.96,231.82,231.92,719.1,230.38975346670998,232.63316907294586,False,False,False,,False,,False,,False,,False,
1738370340,231.92,231.97,231.84,231.92,784.5,230.42998377862125,232.6410877419282,False,False,False,,False,,False,,False,,False,
1738370400,231.92,231.95,231.78,231.78,790.4,230.46820962463084,232.647642474433,False,False,False,,False,,False,,False,,False,
1738370460,231.78,231.88,231.44,231.59,2973.4,230.50497381999514,232.65206453019215,False,False,False,,False,,False,,False,,False,
1738370520,231.59,231.63,231.27,231.57,3589.8,230.539669615202,232.65497553396273,False,False,False,,False,,False,,False,,False,
1738370580,231.57,231.68,231.4,231.61,4238.5,230.5711774598401,232.65694426113953,False,False,False,,False,,False,,False,,False,
1738370640,231.61,231.67,231.45,231.52,1486.2,230.59833835570794,232.65813783312703,False,False,False,,False,,False,,False,,False,
1738370700,231.52,231.57,231.27,231.56,1980.2,230.62054031538537,232.65850881880615,False,False,False,,False,,False,,False,,False,
1738370760,231.56,231.78,231.45,231.78,3052.3,230.63809462939355,232.65820447444966,False,False,False,,False,,False,,False,,False,
1738370820,231.78,231.89,231.67,231.76,3270.4,230.6517152745505,232.65780961143793,False,False,False,,False,,False,,False,,False,
1738370880,231.76,231.94,231.74,231.91,1406.6,230.66205441981833,232.6575252329462,False,False,False,,False,,False,,False,,False,
1738370940,231.91,232.0,231.86,231.97,1585.5,230.66989217097694,232.65785967707552,False,False,False,,False,,False,,False,,False,
1738371000,231.97,232.0,231.38,231.57,8343.0,230.67556255987995,232.65754667462193,False,False,False,,False,,False,,False,,False,
1738371060,231.57,231.8,231.53,231.61,972.7,230.67935600068597,232.65672995448514,False,False,False,,False,,False,,False,,False,
1738371120,231.61,231.76,231.57,231.73,1455.1,230.68157047040813,232.65547940117193,False,False,False,,False,,False,,False,,False,
1738371180,231.73,231.89,231.56,231.89,5723.3,230.68242665738853,232.65366854378541,False,False,False,,False,,False,,False,,False,
1738371240,231.89,231.97,231.74,231.89,1397.1,230.6826855186257,232.6521190388666,False,False,False,,False,,False,,False,,False,
1738371300,231.89,232.36,231.86,232.34,3976.1,230.68337815008226,232.6511862393917,False,False,False,,False,,False,,False,,False,
1738371360,232.34,232.38,232.21,232.32,1251.8,230.68553083040842,232.6524631515082,False,False,False,,False,,False,,False,,False,
1738371420,232.32,232.49,232.31,232.31,3067.4,230.69091838726035,232.65519911906776,False,False,False,,False,,False,,False,,False,
1738371480,232.31,232.4,232.29,232.3,1840.0,230.7014384233271,232.65845140103187,False,False,False,,False,,False,,False,,False,
1738371540,232.3,232.47,232.29,232.39,1742.1,230.7181399678085,232.66219473954942,False,False,False,,False,,False,,False,,False,
1738371600,232.39,232.61,232.24,232.53,7186.9,230.74117291491416,232.66606655847553,False,False,False,,False,,False,,False,,False,
1738371660,232.53,232.86,232.49,232.84,4653.5,230.76878314883697,232.67269700333884,False,False,False,,False,,False,,False,,False,
1738371720,232.84,232.86,232.74,232.83,1179.2,230.79719976098158,232.6848372724139,False,False,False,,False,,False,,False,,False,
1738371780,232.83,232.93,232.74,232.85,2673.5,230.82310681095737,232.70170820141044,False,False,False,,False,,False,,False,,False,
1738371840,232.85,232.88,232.49,232.68,2315.9,230.84463547626353,232.7204839652054,False,False,False,,False,,False,,False,,False,
1738371900,232.68,232.7,232.55,232.65,982.3,230.86092466031187,232.74130101073794,False,False,False,,False,,False,,False,,False,
1738371960,232.65,232.72,232.55,232.69,684.0,230.87168700527263,232.7631497522694,False,False,False,,False,,False,,False,,False,
1738372020,232.69,232.92,232.69,232.87,1217.6,230.87687405758982,232.78682181012653,False,False,False,,False,,False,,False,,False,
1738372080,232.87,233.19,232.87,233.13,5271.1,230.87659457769314,232.81181702533812,False,False,False,,False,,False,,False,,False,
1738372140,233.13,233.41,233.03,233.24,10271.8,230.87095518154695,232.83874166339015,False,False,False,,False,,False,,False,,False,
1738372200,233.24,233.48,233.12,233.36,4715.2,230.8600215024319,232.86841153412772,False,False,False,,False,,False,,False,,False,
1738372260,233.36,233.48,233.19,233.19,2962.9,230.84375927332303,232.90223884306056,False,False,False,,False,,False,,False,,False,
1738372320,233.19,233.24,232.95,232.96,1705.9,230.82333801334767,232.9368629870955,False,False,False,,False,,False,,False,,False,
1738372380,232.96,233.2,232.96,233.06,3843.9,230.80013187011866,232.97332540568723,False,False,False,,False,,False,,False,,False,
1738372440,233.06,233.59,233.06,233.54,2419.3,230.77532484522283,233.01292947855913,False,False,False,,False,,False,,False,,False,
1738372500,233.54,233.57,233.25,233.37,2417.1,230.7493804020802,233.05679394012714,False,False,False,,False,,False,,False,,False,
1738372560,233.37,233.48,233.34,233.48,518.5,230.72254933629893,233.10531429385424,False,False,False,,False,,False,,False,,False,
1738372620,233.48,233.49,233.27,233.27,530.3,230.69557235110312,233.15715531612554,False,False,False,,False,,False,,False,,False,
1738372680,233.27,233.35,232.96,233.13,1066.4,230.67034084212105,233.20928583518238,False,False,False,,False,,False,,False,,False,
1738372740,233.13,233.17,232.89,233.01,2982.4,230.6491931648277,233.26082719754456,False,False,False,,False,,False,,False,,False,
1738372800,233.01,233.01,232.64,232.85,3744.9,230.63499404783784,233.3095742000059,False,False,False,,False,,False,,False,,False,
1738372860,232.85,233.03,232.82,232.88,870.3,230.62934127475364,233.35670818693325,False,False,False,,False,,False,,False,,False,
1738372920,232.88,233.14,232.85,232.94,1318.2,230.6334846769372,233.40157213994985,False,False,False,,False,,False,,False,,False,
1738372980,232.94,233.17,232.91,233.1,1752.6,230.64801073738613,233.4441883262816,False,False,False,,False,,False,,False,,False,
1738373040,233.1,233.26,233.1,233.2,558.1,230.6738189448546,233.48417171752254,False,False,False,,False,,False,,False,,False,
1738373100,233.2,233.21,233.06,233.11,682.1,230.71016986068048,233.52229857267054,False,False,False,,False,,False,,False,,False,
1738373160,233.11,233.54,233.11,233.46,2423.2,230.75400308471137,233.5601781796298,False,False,False,,False,,False,,False,,False,
1738373220,233.46,233.77,233.36,233.77,4445.5,230.80198059726877,233.59907483938625,False,False,False,,False,,False,,False,,False,
1738373280,233.77,233.79,233.45,233.47,3848.0,230.85060758194254,233.639834648198,False,False,False,,False,,False,,False,,False,
1738373340,233.47,233.49,233.4,233.47,533.1,230.89776075321151,233.68131298289669,False,False,False,,False,,False,,False,,False,
1738373400,233.47,233.48,233.25,233.26,2107.9,230.94198934683175,233.72260686791756,False,False,False,,False,,False,,False,,False,
1738373460,233.26,233.26,233.04,233.12,1317.6,230.9832623626719,233.76195032027567,False,False,False,,False,,False,,False,,False,
1738373520,233.12,233.31,233.05,233.28,1102.0,231.02155137690738,233.7997771882881,False,False,False,,False,,False,,False,,False,
1738373580,233.28,233.57,233.28,233.57,890.3,231.05675190344493,233.83739403356313,False,False,False,,False,,False,,False,,False,
1738373640,233.57,233.68,233.54,233.62,430.1,231.0887818195298,233.8762699446002,False,False,False,,False,,False,,False,,False,
1738373700,233.62,233.68,233.56,233.65,1567.1,231.11918394950408,233.91494589725806,False,False,False,,False,,False,,False,,False,
1738373760,233.65,233.87,233.58,233.86,4046.5,231.15069425142315,233.95220198740608,False,False,False,,False,,False,,False,,False,
1738373820,233.86,233.95,233.68,233.78,2725.5,231.18509513632728,233.98903187357422,False,False,False,,False,,False,,False,,False,
1738373880,233.78,233.79,233.46,233.48,2334.4,231.22369797548117,234.0235868208818,False,False,False,,False,,False,,False,,False,
1738373940,233.48,233.61,233.34,233.59,1274.2,231.26849688678226,234.05364055296116,False,False,False,,False,,False,,False,,False,
